ITEMS,CO-ORDINATES,MAP CO-ORDINATES
YOGURT,606,"34.211042,-118.436525"
CHEESE,607,"34.211063,-118.436519"
BUTTER,608,"34.211084,-118.436513"
MILK,609,"34.211105,-118.436507"
AMUL MILK,610,"34.211126,-118.436500"
SALAMI,701,"34.210705,-118.436622"
SALAMI,702,"34.210732,-118.436615"
SAUSAGES,703,"34.210757,-118.436608"
SAUSAGES,704,"34.210783,-118.436600"
FISH,705,"34.210808,-118.436593"
FISH,706,"34.210834,-118.436586"
NUGGETS,707,"34.210859,-118.436578"
NUGGETS,708,"34.210884,-118.436571"
CHICKEN ,709,"34.210910,-118.436563"
CHICKEN ,710,"34.210935,-118.436555"
